lyric,count
Mad all the time,14
"So let me go, let me go down",14
Last night I had the strangest dream of all,13
"Whoa, you’ll never know",12
Do you feel it too?,12
"Crave, crave, crave, crave, oh",12
"Love, love, love",12
"We, we're made in America",12
'Cause I like it,12
I really thought you were my four-leaf clover,12
"But I think it's fine, it's cool",11
I don't wanna be your crybaby,11
I don't wanna be your crybaby now,11
I wish I was royal but I'm not,11
I've got to know,10
Maybe someone's,10
Oh woah oh oh oh,10
You're one of my favorite few,10
Do you see the problem here?,9
I wish I was dead sometimes,9
But then what?,9
At least it's all about you,9
You rip me to shreds,9
I'm starting to think,8
Digging,8
Cause I'm just not used to,8
Break me,8
Teething,8
"Oh, tell me why we wonder",8
Was out to get you,8
"I want a big house, I want nice things",8
You know I'm stupid for you,8
I’m fighting for you,8
"Mad all the time, mad all the time",8
Deep through all my idols graves,7
Around the edge of my heart,7
"I'm cravin', a getaway from the",7
I think with my heart,7
Teething (teething),7
Keep me close like your territory now,7
And everybody wants you,7
I'm just here to destroy,7
"The heart I gave, it was a decoy",7
I'm better as your chew toy,7
I think the blondes are done,7
I never promised you your dream boy,7
We're fucked and don't care at all,7
My face feels hot and blue,7
We can fuck about it later if you want,7
If everyone you knew,6
It makes me sick you know my skin,6
We're all too cool for fun,6
"From thinking about, thinking about you all the time",6
Do you think God knows?,6
I'm magnetic to the things I hate the most,6
I-I'm mad all the time,6
Sleepin' with my clothes on in case shit goes wrong,6
You'd be paranoid too,6
"If you need me, I'm here now",6
Stay awake for me?,6
"Tell me, won't you stay awake",6
There's nothing in my system,6
Now I think I need a life or maybe 9,6
I could run away like that,6
So I'm feeling what I feel for you,6
'Cause I only want to lift you up,6
I guess I never really said enough,6
"We’re not sleeping, we’re just dreaming",6
I don't wanna be like that,6
I don't wanna think like that,6
"I like cool shirts, I like cold rings",6
I know I'm lonely but I won't come over,6
I try to hide with my words,6
You'd be worth the chases to go-oh-oh,6
Am I the boy you dreamed of? Oh,6
"What the fuck is wrong with me? (Yeah, yeah)",6
All the girls in Los Angeles look like you from a distance,6
"Yeah, everything slows down",6
"If you feel it, then I feel it too",6
Powerless tonight,6
All I am is losing track of time,6
It didn't work and I feel like shit,6
Tried anything not to think of ya,6
"Maybe I'm, maybe I'm tired (Maybe I'm, maybe I'm tired)",6
"Stop right there, don't come any closer",6
Just promise that you won’t forget about me,6
I found a million places,6
My quiet blue tomb,6
"Smooth talk, that's keeping me grounded",6
It's everything I wanted,6
"She wore a sweater in summer weather, yeah",6
And is it because of me?,6
I'm two faced from your double exposure,6
But one thing's for sure,6
Do you believe in love? Oh,6
Gotta clear my front lawn off,6
But you just find me clever,6
"To the, carpet in my room",6
Everybody just thinks that I’m falling apart at the seams and I can’t believe,5
That they’re all wrong about me,5
"Living in your subconscious, oh",5
Used to protect yourself from all the world,5
In my paradise,5
I’ll be the silver lining around your fence,5
When I was 15,5
Kiss me like nobody would,5
You're so cold,5
What made you so,5
Scared to be alone?,5
Who chilled your bones,5
That wasn't me,5
The boys are sad,5
Feeling my love mood,5
But can you really get lost in heaven?,5
We're classic hysteria,5
"We're culture clashing, hazard smashing",5
"Aesthetically, yeah, we're so pleasing",5
The size of my bad thoughts broke down my door,5
And everything slows down,5
Would you get tired of my time?,5
You dropped your guy and took me on,5
And love with my head,5
Maybe the end is near,5
Everything gets fuzzy when you come around,5
When I'm alone with you,5
And I’m just saying,5
And its sharp teeth,5
To keep you here with me,5
"She wore a sweater, it was funeral grey",5
When no one's watching you,5
And when I'm swallowed down,5
"I'd say it's for you, yeah, yeah, yeah, oh, oh",5
"I'd say it's for you, yeah, yeah, yeah",5
A night out on Earth,5
You've got me feeling like a walking love song,4
And all I think about is where you might be,4
"This isn't all, this isn't all it's cracked up to",4
My favorite set of stairs is the one up to your room,4
I never wanted to be thinking this loud,4
You know I'll always be around,4
I could live on a life raft next to you,4
"Ooh, ohh, I'll see you in the future, yeah, yeah, yeah",4
Sticks and stones may break my bones but:,4
You fuck with my head,4
I think the blondes are done with fun,4
"And I'm crying over it all, yeah",4
It's been a pleasure,4
To sleep or dream,4
I want jet packs for all my friends,4
"Getting out, getting",4
"While you follow around, around round round round",4
I'm fucked and hope you're proud,4
"Hey, look what you've done now",4
I was just doing the sane thing,4
Let's keep each other safe from the world,4
I'm highkey and lowkey as hell,4
And I just need you to feel it too,4
I'm like American graffiti,4
The la-la-la-lobotomy,4
Should've could’ve been the one,4
To turn everything around,4
That’s why I’m here,4
"Till we’re gone, whoa, whoa, whoa",4
I'm sitting here delirious,4
It's nice to meet you,4
I don't feel lucky in here,4
So keep me close like your territory,4
"'Cause you, you don't seem to like it when we talk",4
"I guess I'll see you later, see you later, yeah",4
Or I need it over,4
Writer's block has building blocks,4
And built these walls around me,4
Buried in my head,4
It's such a fucking shame,4
I'm seeing red and nothing else,4
I-I-I'm mad all the time,4
Like you'd even want to,4
Can't stop me right now,4
'Cause my open hand and heart think you belong with me,4
Drop it right now,4
Simple steps are all it takes,4
Keep me close and we won't get boring,4
"Baby, search and then destroy me",4
Do you wanna be my territory?,4
But steps don’t erase mistakes,4
Hand it off to me,4
"Yeah, you cloud my",4
"Yeah, you cloud my head",4
"‘Cause when you’re lost, you’re found; you’re gone",4
We expect everything,4
And expect nothing less,4
I don't wanna talk about it,4
"Yeah, everything slows down my 24",4
I wish I could forget you (Forget you),4
I went out with my two best friends,4
"Tell me why, oh, oh",4
"Float my way, I'm melting for you",4
You don't love me the same,4
These daydreams are day seeds,4
Now I'm kinda thinking that I'll never bloom again,4
"It's turbulent, turbulent",4
In the dark between my sheets,4
Now I'm mad about—I don't know what,4
Shake me up and watch me in my—,4
Lose it where your head should be,4
Just like I told you so,4
"I'd unfuck you if I could, ooh, ooh, ooh",4
I'd unlove you like I should have,4
You're the reason I can't sleep?,4
Do you see,4
"Us giving up, living down",4
So fuck yourself and fuck your feelings,4
Months before I did,4
I’ve been living dark,4
In the months before I split,4
I tried to give you space until I stepped away from your brain and now I just miss it,4
All of the above when I'm alone,4
What's up,4
What we were thinking all along,4
"I, I, I",4
"Fuck you and your friends and LA, you know I mean that",4
So delete us from your phone and never look back,4
I’m just waiting,4
So learn these fucking words,4
So I'll just tell my telephone,4
But only on your terms,4
You wanna hear my art,4
"I believe, but not in you and me, so",4
And this ain’t Misery,3
That I don't hear from my friends anymore,3
"I'm on my way to you, but I self-sabotage",3
"To get away from you, I'll self-sabotage",3
(In my paradise),3
And the way you tease is unfair,3
"So I might drive my car and crash into your garage, ooh",3
What the fuck is wrong with me?,3
"If you like when we talk, I'll dislocate my jaw, ooh",3
My inner child needs a bulletproof vest and a phone that can't text,3
And twenty years rest,3
"Build a bomb shelter, bite a belt for the stress",3
"I've got some dirty laundry, can you keep it?",3
"“Boy, I know you’re in there",3
And I think that's pretty cool,3
I miss having sex but at least I don't wanna die anymore,3
"If you believe me, I could be your truth",3
'Cause your moonlit backseat always leaves me,3
My mood's dictated by our conversations,3
Alone was never easy after you,3
"'Cause this is what you've done, you've done to me",3
Thinkin' you've got me brainwashed,3
"I'm see-through, need you",3
Everything's clean except for my thoughts (Yeah),3
"It's been a week, I'm still at your house",3
"I don't wanna leave, it's freakin' me out",3
"Oh, I don't wanna leave, it's freakin' me out",3
"Oh, oh",3
You never really missed me back,3
You're the only one that makes me,3
So when are you gonna sing for me?,3
Wake up tomorrow and try again,3
My panic’s at the ceiling,3
And keeps me,3
Somewhere inside the softest part of my mind,3
But I'm flat down on the carpet,3
I said I loved you to death,3
On the door of my apartment,3
And you put away your halo,3
‘Cause there’s no way he’s just letting,3
You fall from the stars,3
"(I'm thinking off the page, and I can't sleep)",3
"I'm thinking off the page, and I can't sleep",3
"Captured, I was stuck in place",3
I'm over all the stale days,3
And get in my car,3
Go to my place,3
I settled for these scribbled lines,3
I can't even count the times,3
You’ve been sneaking out of heaven?,3
I wanna lose my mood inside a late night phone call with you,3
"What do I, I do?",3
They see me from the halls,3
And I,3
Don't know just what they want,3
So small I wanna,3
From outer space the street looks small,3
The times I'm feeling far from home,3
I'll watch you from my telescope,3
"But it's better than nothing, yeah, I know",3
I barely get more than a glimpse,3
Like were his eyes closed?,3
"My freckles and my hands, you know",3
You’ve been sneaking out of heaven,3
"You know, so I must be dead",3
Next to your favorite songs,3
So I stay in,3
"I want you all to myself this time, t-t-time",3
I wanna live inside your mind,3
I wanna make my way into your kiss,3
It's all we ever really do when something's wrong,3
So I must be dead,3
Because we never fix the problems that we've got,3
You only like me when I'm numb,3
The best is hard to grip when everybody wants you,3
I'll take what I can get,3
"You're a symphony, I'm just a sour note",3
I wear you like a halo,3
You're playing ring around my head,3
But I don't know how,3
"Hey, tell me what you want me to say",3
The boys are back,3
Because I love you or I want to,3
I need you closer,3
My sins are all built in,3
Either need you closer,3
And if you don't text I get too frustrated,3
I don't deserve as much,3
Conflicted looks good on me,3
"You're my final destination, I know",3
"My tired thoughts don't take vacations, oh no",3
So let me tell you now,3
For you to hear me where you are,3
Hahaaaaa just kidding,3
Looking like a Sunday,3
Everybody goes home alone,3
"That's got me sitting, wishing, waiting for your call",3
But Cupid sent me on a mission,3
I know you said to mind my business,3
I'm leaving you love notes in the kitchen that say it all,3
To the one I call my missus,3
"Happy birthday, Merry Christmas",3
In the back of the deep end,3
"Oh-oh, oh-oh",3
I found you just in time,3
"It's too easy to hate you, and hard to love",3
Except the shots I take and phone calls from you,3
There's nothing left to miss,3
But I'm nervous at my central for you,3
I'm sweating out potential,3
Wishing for a someday,3
"You float up in conversations, oh no",3
You're probably fine there,3
"I really thought that I was lucky, fuck me",3
Just know I think you're rare,3
"(’Cause we’re living, we’re living, we’re living, we’re living)",3
You know I'd die for you,3
Cherry red,3
I'll watch you from my telescope;,3
"You won't ever have to sleep, sleep, sleep alone",3
"You can call me on my phone, I'll come to you",3
You won't ever have to sleep alone,3
"You can call me on my phone, I'll run to you",3
"(Forget it, forget it, forgive it, forget it)",3
You're the blueprint to my stupid sounds,3
"You're the lucid, plain view Cupid found",3
So I wouldn't have to check my phone,3
So I could spend a day alone,3
And not feel like everybody hates me,3
Loud gets lonely,3
"(If life is just a game, then I’mma flip the board and break the peace)",3
Now it’s 3 AM,3
To uninspired's lacking symmetry,3
It's turned my starry friends,3
With a part of me that's hard to see,3
I resent the party scene,3
"'Cause I feel like I’m running out of time, yea",3
Someday maybe on a Sunday,3
I'm trying desperately,3
So why do I feel invested?,3
"7 PM, let it sink in",3
I can be your best yet,3
Future favorite regret,3
I must've caught you from 11:11,3
Evil comes in pairs and we like what we do,3
I'd never I'd never I'd never get you off my mind,3
All I need is more time right now,3
"But if you wanted, I'd never I'd never I'd never leave your leave your side",3
Because the world's gonna pass me by,3
I'd never I'd never I'd never leave you hanging out to dry,3
Lose your mind,3
And you'll be sorry when you come to,3
"Yeah, I'm like you without good moods",3
My cave's my room where I'll cave too,3
"See, I'm like you without good moods and",3
As all your pop faves,3
It freaks me out,3
But I’d break your knees,3
'Cause then what?,3
And now it's killing me,3
"Want you all to myself this time, t-t-time",3
From 7-Elevens to California Heavens,3
I know we only just met,3
I can sit and sun bathe,3
But I'll just stay alone because alone is safer than with you,3
I really thought that I was lucky (I was lucky),3
'Cause I’m feeling like I’m running out of time,3
"It's too easy to hate you, when was enough?",3
At least I thought you did,3
'Cause you shine brighter than morning,3
"Let me go, let me go down",3
I'm a little bitch for you now,3
"It's too easy to hate you, hate you",3
You deserve a couple bad hair days,3
You're hard to love,3
"I'd love to be in love with you enough to write a love song, mmh",3
I need to feel needed and I need it more than I let on,3
You...,3
Shake from the fact she's my world devastator,3
"I'll be home just thinking about it, maybe call like I used to",3
No plastic or paper can take her or make her,3
And I hope that your car's AC breaks,3
I'd like it if you cracked your phone screen,3
But I'd like it even more if you called me,3
"Yeah, I like it",3
"Yeah, you said it:",3
My eyes stuck to my favorite show,3
"Yeah-ah-ah-ah, you've been sneaking out of heaven",3
But I can change the way it feels,3
The action's a fraction,3
"Oh, it's like I told you",3
Of you (Of you),3
Someone will come to replace me along with the dreams I’ve got,3
Now,3
Yeah,3
If there's a place right now,3
There's a way somehow,3
It's like I told you,3
And that's where I've gotta,3
"Oh, when this was too far",3
(What happens next?) I guess we’ll never know,3
I won’t sell myself out,3
I won’t let you down,3
Can’t stop the future from settling,3
If your indigo eyes are mine,3
I feel,3
"And make these modern days seem small, but",3
This time I’ll do things the way you wanted,3
"It’s not right, but it’s just the way you want it",3
"Lay it all on me, ‘cause I’m all ears",3
Dream scenes of,3
"This isn't all, this isn't all it's cracked up to be",3
Just like you never wanted to,3
Oh,3
Still I’m fighting; still I’m fighting for you,3
Through all these inconsistencies,3
Of you,3
And I just gotta know,3
One of these days,3
Call it new wave,3
Cause one thing's for sure,3
I can't imagine fast enough to settle on a dream,3
But I've spent this winter wondering when they're gonna settle on me,3
And there's some things I've just gotta know,3
Nothing said has come so easy,3
Like nothing ever happened,2
And I don't hear from my friends anymore,2
I don't invite the head rush,2
But I'm still just me,2
I've spent some years rewinding,2
So tear into me,2
The city is insidious,2
We live in chemistry away from all the wasted time and taste,2
That they all changed you into”,2
"Into, into, into, oh",2
Why do I think you're so cool?,2
In my jacket pocket,2
My tiny little world is in your hands,2
I'm not scared of anything,2
But it follows me,2
"I'm havin' the same thoughts, can't stop",2
This city is insidious,2
So shake it like a snow globe,2
I just want you to be my next mistake that I'm gonna make (Oh),2
I can't explain the look on her face,2
Of how much this hurts,2
“They hate everything,2
Give back my halo you stole,2
Miles of aisles,2
Before we're in the dirt?,2
Is this what we deserve,2
And everyone's freakin' me out (Woo),2
"I wake up and I'm up and I'm down (Up, up, up)",2
"Yo, shut the fuck out of your mouth",2
Give back my breath that you hold,2
This is the part where you get a job,2
This is the part where you settle for less,2
It's silver and cold,2
It gets real fuckin' dark,2
"And then she walked away, I didn't get her name",2
This is not the part where you cut your losses,2
This is not the part where you get a job,2
Sunbathe,2
Or will they always follow me?,2
The fingers pointing the blame,2
Can we stand to break,2
I'm missing your breath,2
"""People miss the old you”",2
I've fallen apart,2
So tear into my heart,2
Thinkin' about me gettin' you off,2
"That “Today, not tomorrow, is ours.”",2
Fuck my plans,2
"Wake up tomorrow and try again, yeah",2
It buries all my problems,2
I like how your hair smells,2
But I like your apartment,2
To call when you're out every night,2
While I'm dipping my toes in the silence,2
"Show me your, show me your violence",2
"Yeah, I'm sick of playin' it cool",2
"When, baby, really I, I wanna die",2
So I went out with my two best friends,2
"If you need me, all I need is you",2
So get the fuck back,2
We're building sandcastles out from their ashes now,2
"These copy cats are getting, getting feral now",2
This is not the part where you settle for less,2
Making plans on another planet daily lately,2
Less slow verbs,2
When are you gonna drink for me?,2
"I miss seeing the red on your face when I made you blush, hey",2
"I don't know, I don't know",2
Ruinin' me completely,2
Until I forget the details,2
I said I'm stealing rock back,2
Let's try words,2
"I guess you messed me up, I'll pay for this",2
"It's true, ooh, ooh",2
Instead of tying our breath in knots again,2
I wish I could forget you,2
But it's out of hand,2
You're chopping it down in heavy seconds,2
Do you feel it? 'Cause I feel it too,2
"(I don’t have the sympathy, I think that you need more from me)",2
You're not alone 'til it stings like this,2
I'll fake asleep until I'm dreaming,2
"Tell me why oh, oh",2
So take off with your snapback,2
I would swim if it keeps me close to you,2
The syndrome feels Stockholm,2
"I'm like, ""Do you wanna keep me on lock though?"" Yeah",2
Symmetrical feelings,2
So check out all the love I get,2
I ripped into you with on Black Light,2
I've still got the spite,2
I've still got the fangs,2
Before you get knocked flat,2
Filled up with files of titles,2
That I think that I love you so,2
If you fall I'll swim right back to you,2
I've been building this island every day,2
It’s just you and me,2
"Wake up, good morning",2
I think you saved my life,2
My love's distorted,2
Little did you know,2
But what's important,2
My shirt's imported,2
I pray for more shit,2
Like that would help me,2
To feel more free,2
I left another seed,2
And little did you know,2
That’s how it’s gotta be,2
But I'm a little bitch for you now,2
I don't wanna say it way too loud,2
"""I'll be something you're not""",2
It's true,2
Just to flex on me,2
I couldn't get much sleep,2
All you gotta do is stop texting me,2
So desperately,2
Acting so desperately,2
If you want to see me,2
I carried you down the stairs every day,2
"Ooh, you",2
It’s like the way you move,2
Soon everyone will be gone,2
An afternoon just to breathe,2
Don't trust nobody else,2
Like every single second's just another second spent to lose,2
But I'll tell you:,2
"Nothing, nothing good comes from late night thinking",2
Banging in my head like bap-bap-bap-bap,2
"Feelings in the light go bad, bad, bad, bad",2
"Headlights in my eyes go black, black, black, black",2
"It's bad, bad, bad, bad",2
Teasing on myself like na-na-na-na,2
I wasn't prepared,2
You know I think you're rare,2
"Driving slow, yeah, I'm losing myself",2
It's 'cause,2
"Let's be lucky people, you and me",2
(To try something that the rest have never seen),2
My hands still count on you to let me down,2
Articulate and lonely enough for the two of us,2
I just hope it's nicer where you are,2
"If you want, if you want, if you want to",2
If there's a chance we'll sink then I don't even wanna try,2
"'Cause we're not seventeen, but you're my teenage dream",2
So practice your passion on me,2
Give me your 100 degrees,2
I'll die off whenever you need,2
"Ooh, ooh, ooh",2
'Cause now it's far too hard to see through,2
I wish you didn't tell me I was special,2
Your mama likes me and she doesn't like anyone,2
It's nice to meet you ('Cause what you give out's what you get back),2
And tangle myself up in the knots,2
I could invent a thousand problems,2
About everything I’m not?,2
Would it be worth it to write songs,2
"Taking notes, yeah, write it down",2
"Yeah, you've been seeing all about me",2
"You want some glitter, drink it down",2
This is the part where you cut your losses,2
And my heavy set of cares evaporates all around you,2
"Yeah, you've been reading all about me",2
"It's been a pleasure (So destroy my world, I'll tape the cracks)",2
"It's been a pleasure (I'll stop the world, I'll tape the cracks)",2
And my empty set of cares evaporates all around you,2
It's nice to meet you (What you give out's what you get back),2
I'd never I'd never I'd never leave you out to dry,2
"Your everything, everything",2
'Cause I'm dying to be,2
I've gotta let you know,2
You could be my only one,2
There's something I haven't told before,2
Describing how much this hurts?,2
So I'll just live on this island until I break,2
"Every day, I'm more numb to the Sad Game",2
Waiting for the right time to get away,2
The lucky number seven,2
All that I can do is fall in blame with you,2
The lo-lo-lo-lobotomy,2
"Yeah, if it's up to me, say it all",2
"Yeah, I'm a little bit of a little bitch, so?",2
"Let me go, let me go",2
It took all but you,2
"Mind, your head, has lost its sight",2
"Yeah‚ if it's up to me, say it all",2
"Has taken all of, all of me",2
"Mind your head, I've lost my mind",2
"Ooh, ohh, you can find me in the rumours, yeah, yeah, yeah",2
If you could see the things,2
That I see when I sleep,2
Then you'd be paranoid like me,2
I used to save the words you said,2
Hands in my pockets,2
In the texts that you would send when you were going to bed,2
It's like you were yellow but the lights were red,2
You're selfish and a half,2
For what I've been planning,2
"And worth it, so hold on",2
And the other half is me,2
While they're just finding me out,2
"I wanted privacy, routine and everything between",2
"I never asked about the when, why or how",2
Who's apparently not mad enough,2
To get up and to leave,2
I wanna go home,2
Typical story,2
I love it all,2
"Baby, you don't seem to like it when we talk",2
I built a secret room for you,2
"Tell me, are we far gone?",2
But I'd break your knees,2
"And how I know, I know it's coming soon",2
"Tell me, will we fall off?",2
Step into the good light,2
But all that means is a new beginning,2
And all it meant was a new beginning,2
"Think you're the worst of them, think you're the worst",2
"Think you're the worst of them, think you're the worst of them all",2
"You diva, I just wanna see ya",2
"You sweetheart, don't wanna be apart",2
But all that means is,2
But I'mma knock 'em down down down like,2
You say,2
"Self-care, green hair, looking cute today",2
Hello to the FANDOM,2
Now you’re looking through the peephole,2
"Hey, can you come and come out and play?",2
Break your knees,2
"To keep you here with me (yeah)""",2
Just one more chance to adore you,2
I see shadows on my walls,2
But your middle one's up,2
"I've had enough, I try to brush it off",2
'Cause you're my confidante,2
"So let's talk, share secrets",2
"I'll take you with me, we can ride",2
I’ll be your silver lining,2
Because I need to really feel you,2
But we're runnin' around,2
Is it easy now?,2
"Tell me, are we all wrong?",2
You only hit me in the evenin',2
When I'm all stressed out,2
My brain just needs a little bit of cleaning,2
(Yeah-ah-ah),2
(Yeah-ah-ah-ah),2
"You know what I mean, man",2
All wrong,2
That’s what it comes down to,2
You do it without words,2
Like when you lead me back to your place,2
It's a night out on Earth,2
Either way I'm in the conversation,2
Straight up to my window,2
I ain't jumpin' out the window,2
I'm just saying,2
I-I-I,2
You're either dying,2
Or you're playing,2
I'm tired all the time,2
I'm cutting my own line,2
(Woo!),2
Step into the moonlight,2
So spin the bottle in your brain,2
With titles that don't match at all,2
I like happy songs,2
All I know is that this isn't love,2
Do you see?,2
All I know is that this isn't fun,2
"You're the reason I can't sleep (Oh, oh)",2
Lose it where your head should be (Oh),2
Why do I got both my hands up praying?,2
Now I feel like that's all old news,2
You love me in such weird ways,2
I brought my words to a fistfight,2
But I watch you when you’re walking,2
Please don't have a TANTRUM,2
'Cause I think you're the worst of them,2
I brought my hell to you,2
A hurricane lives in my bedroom,2
It keeps me up and awake for round two,2
And I just wanna sleep,2
But that's all too much,2
I brought a knife to a gunfight,2
(You only like me when I'm numb),2
On my ceiling,2
The end wasn’t ours to fear,2
It's like a bad day in new shoes,2
And I was saying,2
I was waiting,2
And the worst part of it is,2
A long weekend with curfews,2
You freak me out,2
Is the ring around your finger,2
"Or I need it over, yeah",2
The more I wrap myself up,2
Climb the walls of my headroom,2
I feel most safe in my bedroom,2
Entirely both know this,2
My brains and my hands,2
Will never let me focus,2
But it starts to mean nothing,2
But I can't stay lost forever,2
"I want a big house, but I'm hiding",2
We are both like that,2
I think I talk too much,2
So I’ll leave them buried in the details,2
I try to walk it off,2
But now you got your gloves,2
I don't wanna leave you hangin' on,2
And now you box me out,2
We are both the same,2
And I can't wait to go outside,2
So keep out of my room,2
So tell me something,2
My heart is shut from you,2
We are not like that,2
We are not the same,2
No,2
And I still don't know,2
And I looked but I can't pretend,2
And I think and I think and I think about the end,2
Livin' like I'm dead and on my own,2
"With all the things you don't say, I'm livin' fuckin' betrayed",2
Are you hearin' me when I say you're bleedin' me out?,2
If you need me now,2
And spend my summers contemplating what I'm gonna do with my life,2
"Don't look for me, don't look for me",2
I'll be there somehow,2
I could sleep for weeks and speak in Z's,2
"I'll pick you up, we can ride",2
"Never know what's next, next",2
You're killin' me when I'm fast asleep,2
Anything but nothing,2
I'll fly away like I bought my own airline,2
I won't slow my pace until your walkway,2
My sneezing fits,2
Show me everything I want,2
I don't wanna think about it,2
I'm out the ring,2
Because the last time that,2
I had these thoughts,2
"Mirror, mirror, on the wall",2
I just kept going on about it,2
Life is slow paced,2
"“Everybody hates you""",2
But the only ring I want,2
"Give me three days, three days alone, yeah",2
"Still I’m fighting, still I’m fighting for you",2
Context clues don’t do much for you,2
"I guess I'll see you later, see you later",2
"Yeah, I'm a little bit of a little bitch, so? (So?)",1
(If everyone was out to get you),1
"Find out that I'm canceled, shit",1
"I'm singing in 3/4, that's how you know I'm fucking making this shit nice",1
"Had to have a Britney moment, and I cut it off",1
Do I do this for a living or a death?,1
Light a couple candles,1
In case you're scared of the movies I pick,1
Might just rent a hotel room,1
(Ummmm),1
If everyone you knеw,1
Right 'round my shoulders,1
"Yea, you can wrap your arms so tight",1
You'd bе paranoid too,1
I got some Fruit By The Foot if you wanna come over,1
Cut it off,1
"I might turn around and say some stupid shit, no (Uh)",1
I feel cursed on tour with a big smile on,1
You'd be paranoid too (You'd be paranoid too),1
"I might turn around and say some stupid shit, no (So?)",1
Make them fight to the death,1
If everyone you knew (If everyone that you knew was out to get you),1
As much as they would give me at the CVS,1
And what it comes back to is gladiators,1
I'm sorry in advance for that shit,1
I might just lose my shit hop off the balcony,1
Room 103,1
You think about themes of the album,1
I'd like it if you cracked your phone screen (ba-da-da ba-da-da),1
"Yeah, that's my purgatory",1
My Plan B,1
And I hope that your car's AC breaks (bitch),1
You think about themes of the tour that's upcoming,1
"Yeah, until I end it all (Shit)",1
"Whoops, I got a little dark",1
"Yeah, things get a little hard",1
But I was,1
When you've got eyes in my closet,1
Then you can tell them that I wasn't sober,1
And if they're mad at this,1
But I bought a bunch of candy,1
 from fucking us over,1
"Had to have a Britney moment, had to cut it off",1
Like me stopping ,1
"Where instead of being creative, I'm making business decisions",1
"I got what I wanted, or at least I thought",1
"It's like, I wanna get away but I'm put in these situations",1
But their eyes probably rolled at the first line (Fuck 'em),1
You think about new music that might be worked on,1
What would you say is going to be the next colour of your hair?,1
"They say it's not true, and they hope I'm alright",1
I'm gonna shave my fucking head!,1
You only like me whеn I'm numb,1
How far could it get without me?,1
"I might turn around and say some stupid shit, no",1
Cause if this here ain’t a stick up,1
"But if I put it in a song, that shit goes hard as hell",1
When you talk,1
(ooo),1
Look who stopped by,1
We're backstage in London today,1
I pulled my headphones out,1
And I combat how the pressure feels,1
I should call my parents more just to say that I'ma be okay,1
Some things weren’t meant to fall,1
Oh shoot,1
(Did it work?),1
(I bought these paintings to impress you),1
(Or maybe a hook),1
So they don't worry every day,1
"I haven't slept in days, but who's counting?",1
(I could freestyle you a verse),1
Did I say that too loud?,1
Oh my God,1
It's only Waterparks,1
How are you guys?,1
It's me!,1
When I'm getting up the guts to say that,1
I can't tweet that I wanna kill myself,1
How the hell did I end up in Hell right next to you?,1
I'll probably die in my apartment I couldn't afford last year,1
"(Yeah, come on)",1
My Drake problems sound thoughtless,1
But it's all brand new and I promise I'm being really honest,1
I haven't had a day off since my blue hair,1
I don't tell you how to wake up and be a dumb bitch every day,1
But instead I'm in a straitjacket in my room,1
I wanna win a Grammy in a suit,1
Or speak my truth,1
Instead of trying to explain how I should do my job,1
"No, my whole freeway",1
So how about you stay out of my lane?,1
I'm a little bitch,1
Oh it's true,1
When no one’s watching you,1
The way you brave all the bullshit I hold inside,1
Be depressed to death,1
